"","item1","item2","correlation"
"1","awards","compact",1
"2","welcome","progress",1
"3","right","risks",1
"4","undue","risks",1
"5","progress","welcome",1
"6","compact","awards",1
"7","risks","right",1
"8","undue","right",1
"9","risks","undue",1
"10","right","undue",1
"11","significant","subjected",1
"12","competitive","subjected",1
"13","complaints","subjected",1
"14","losses","subjected",1
"15","smarter","smart",1
"16","solid","reasonably",1
"17","threats","reasonably",1
"18","capability","reasonably",1
"19","continuity","reasonably",1
"20","economical","reasonably",1
"21","effective","reasonably",1
"22","interests","reasonably",1
"23","reputation","reasonably",1
"24","successfully","reasonably",1
"25","variety","reasonably",1
"26","waste","reasonably",1
"27","reasonably","solid",1
"28","threats","solid",1
"29","capability","solid",1
"30","continuity","solid",1
"31","economical","solid",1
"32","effective","solid",1
"33","interests","solid",1
"34","reputation","solid",1
"35","successfully","solid",1
"36","variety","solid",1
"37","waste","solid",1
"38","reasonably","threats",1
"39","solid","threats",1
"40","capability","threats",1
"41","continuity","threats",1
"42","economical","threats",1
"43","effective","threats",1
"44","interests","threats",1
"45","reputation","threats",1
"46","successfully","threats",1
"47","variety","threats",1
"48","waste","threats",1
"49","love","great",1
"50","patriot","great",1
"51","best","great",1
"52","gold","great",1
"53","guarantee","great",1
"54","majesty","great",1
"55","accessible","great",1
"56","concise","great",1
"57","facilitate","great",1
"58","greatest","great",1
"59","impaired","great",1
"60","success","great",1
"61","encourage","great",1
"62","great","love",1
"63","patriot","love",1
"64","best","love",1
"65","gold","love",1
"66","guarantee","love",1
"67","majesty","love",1
"68","accessible","love",1
"69","concise","love",1
"70","facilitate","love",1
"71","greatest","love",1
"72","impaired","love",1
"73","success","love",1
"74","encourage","love",1
"75","great","patriot",1
"76","love","patriot",1
"77","best","patriot",1
"78","gold","patriot",1
"79","guarantee","patriot",1
"80","majesty","patriot",1
"81","accessible","patriot",1
"82","concise","patriot",1
"83","facilitate","patriot",1
"84","greatest","patriot",1
"85","impaired","patriot",1
"86","success","patriot",1
"87","encourage","patriot",1
"88","top","regal",1
"89","favor","regal",1
"90","regal","top",1
"91","favor","top",1
"92","damage","loss",1
"93","liable","loss",1
"94","supple","loss",1
"95","subjected","significant",1
"96","competitive","significant",1
"97","complaints","significant",1
"98","losses","significant",1
"99","accomplish","benefits",1
"100","intelligent","benefits",1
"101","leverage","benefits",1
"102","positive","benefits",1
"103","work","benefits",1
"104","limitation","benefits",1
"105","reasonably","capability",1
"106","solid","capability",1
"107","threats","capability",1
"108","continuity","capability",1
"109","economical","capability",1
"110","effective","capability",1
"111","interests","capability",1
"112","reputation","capability",1
"113","successfully","capability",1
"114","variety","capability",1
"115","waste","capability",1
"116","reasonably","continuity",1
"117","solid","continuity",1
"118","threats","continuity",1
"119","capability","continuity",1
"120","economical","continuity",1
"121","effective","continuity",1
"122","interests","continuity",1
"123","reputation","continuity",1
"124","successfully","continuity",1
"125","variety","continuity",1
"126","waste","continuity",1
"127","reasonably","economical",1
"128","solid","economical",1
"129","threats","economical",1
"130","capability","economical",1
"131","continuity","economical",1
"132","effective","economical",1
"133","interests","economical",1
"134","reputation","economical",1
"135","successfully","economical",1
"136","variety","economical",1
"137","waste","economical",1
"138","reasonably","effective",1
"139","solid","effective",1
"140","threats","effective",1
"141","capability","effective",1
"142","continuity","effective",1
"143","economical","effective",1
"144","interests","effective",1
"145","reputation","effective",1
"146","successfully","effective",1
"147","variety","effective",1
"148","waste","effective",1
"149","reasonably","interests",1
"150","solid","interests",1
"151","threats","interests",1
"152","capability","interests",1
"153","continuity","interests",1
"154","economical","interests",1
"155","effective","interests",1
"156","reputation","interests",1
"157","successfully","interests",1
"158","variety","interests",1
"159","waste","interests",1
"160","reasonably","reputation",1
"161","solid","reputation",1
"162","threats","reputation",1
"163","capability","reputation",1
"164","continuity","reputation",1
"165","economical","reputation",1
"166","effective","reputation",1
"167","interests","reputation",1
"168","successfully","reputation",1
"169","variety","reputation",1
"170","waste","reputation",1
"171","reasonably","successfully",1
"172","solid","successfully",1
